"","state","county","fips_code","location","area_in_sq_mi","population","housing_units","households","ppl_below_150_percent_poverty","bipoc_residents","households_with_no_vehicle","percent_of_overcrowded_housing_units","people_25_w_o_high_school_diploma","perc_below_150_percent_poverty","perc_bipoc_residents","perc_w_o_high_school_diploma","perc_hh_no_vehicle","overcrowded_housing_units"
"41","North Carolina","Wake County","37183052509","Census Tract 525.09; Wake County; North Carolina",1.8432884,3303,2055,1673,929,760,92,1.3,148,0.281259461095973,0.230093854072056,0.0448077505298214,0.054991034070532,2671.5
"42","North Carolina","Wake County","37183052601","Census Tract 526.01; Wake County; North Carolina",1.280756704892,3543,1435,1323,201,361,16,0,26,0.056731583403895,0.10189105278013,0.00733841377363816,0.0120937263794407,0
"43","North Carolina","Wake County","37183052602","Census Tract 526.02; Wake County; North Carolina",1.310472659,3963,3079,2142,475,695,313,1.4,117,0.119858692909412,0.175372192783245,0.0295230885692657,0.146125116713352,4310.6
"44","North Carolina","Wake County","37183052603","Census Tract 526.03; Wake County; North Carolina",1.198713119,3470,1943,1690,298,592,18,0.5,0,0.085878962536023,0.170605187319885,0,0.0106508875739645,971.5
"45","North Carolina","Wake County","37183052701","Census Tract 527.01; Wake County; North Carolina",2.632446911,6598,3517,3230,1535,3835,325,5.3,1145,0.232646256441346,0.581236738405577,0.173537435586541,0.10061919504644,18640.1
"46","North Carolina","Wake County","37183052704","Census Tract 527.04; Wake County; North Carolina",1.128325952,5665,2790,2404,2447,4996,198,3.6,1074,0.431950573698146,0.881906443071492,0.189585172109444,0.0823627287853577,10044
"47","North Carolina","Wake County","37183052705","Census Tract 527.05; Wake County; North Carolina",1.774542553,5046,2763,2103,1423,3008,116,7.2,622,0.282005548949663,0.59611573523583,0.123265953230281,0.0551592962434617,19893.6
"48","North Carolina","Wake County","37183052706","Census Tract 527.06; Wake County; North Carolina",2.428978493,4366,1726,1559,1180,3222,122,10.4,403,0.27027027027027,0.737975263398992,0.092304168575355,0.0782552918537524,17950.4
"49","North Carolina","Wake County","37183052707","Census Tract 527.07; Wake County; North Carolina",2.340143372492,6117,2608,2488,1325,3996,114,0,404,0.216609449076345,0.653261402648357,0.0660454471145987,0.0458199356913183,0
"50","North Carolina","Wake County","37183052801","Census Tract 528.01; Wake County; North Carolina",2.731330336,5646,2424,2164,628,2238,55,1.1,117,0.111229188806235,0.396386822529224,0.0207226354941552,0.0254158964879852,2666.4
"51","North Carolina","Wake County","37183052802","Census Tract 528.02; Wake County; North Carolina",3.000855401,6274,2483,2386,1144,3018,71,1,244,0.182339815109978,0.481032833917756,0.0388906598661141,0.0297569153394803,2483
"52","North Carolina","Wake County","37183052807","Census Tract 528.07; Wake County; North Carolina",16.29278278,7937,2980,2967,787,5523,96,1.3,322,0.0991558523371551,0.695854856998866,0.0405694846919491,0.032355915065723,3874
"53","North Carolina","Wake County","37183052809","Census Tract 528.09; Wake County; North Carolina",6.848828242,2481,988,902,473,1240,0,1.8,238,0.190648931882306,0.499798468359532,0.0959290608625554,0,1778.4
"54","North Carolina","Wake County","37183052810","Census Tract 528.10; Wake County; North Carolina",2.487160975,9318,2840,2840,1774,8599,0,3,706,0.190384202618588,0.922837518780854,0.0757673320455033,0,8520
"55","North Carolina","Wake County","37183052811","Census Tract 528.11; Wake County; North Carolina",4.395967796,9740,3234,3234,3197,8988,63,9,913,0.3282340862423,0.922792607802875,0.0937371663244353,0.0194805194805195,29106
"56","North Carolina","Wake County","37183052812","Census Tract 528.12; Wake County; North Carolina",2.436678525042,3554,1659,1523,545,919,31,1,42,0.153348339898706,0.258581879572313,0.0118176702307259,0.0203545633617859,1659
"57","North Carolina","Wake County","37183052813","Census Tract 528.13; Wake County; North Carolina",6.128260365,3242,1614,1456,924,1334,39,0,111,0.285009253547193,0.411474398519432,0.0342381246144355,0.0267857142857143,0
"58","North Carolina","Wake County","37183052814","Census Tract 528.14; Wake County; North Carolina",4.14178372185,4082,1582,1490,359,1965,180,1.5,175,0.0879470847623714,0.481381675649192,0.0428711415972562,0.120805369127517,2373
"59","North Carolina","Wake County","37183052815","Census Tract 528.15; Wake County; North Carolina",4.265387327,5545,2230,2074,1281,2942,75,4.3,479,0.231018935978359,0.530568079350766,0.0863841298467087,0.0361620057859209,9589
"60","North Carolina","Wake County","37183052816","Census Tract 528.16; Wake County; North Carolina",2.184709904,7294,2254,2207,1294,6963,88,1,391,0.177406087194955,0.954620235810255,0.0536057033177954,0.0398731309469869,2254
"61","North Carolina","Wake County","37183052901","Census Tract 529.01; Wake County; North Carolina",8.012169012,2822,1041,962,443,791,31,3.3,177,0.156980864635011,0.280297661233168,0.0627214741318214,0.0322245322245322,3435.3
"62","North Carolina","Wake County","37183052902","Census Tract 529.02; Wake County; North Carolina",9.073081941,7645,2683,2625,759,2335,49,1.2,597,0.0992805755395683,0.305428384565075,0.0780902550686723,0.0186666666666667,3219.6
"63","North Carolina","Wake County","37183052903","Census Tract 529.03; Wake County; North Carolina",4.90612823,3632,1375,1324,123,1175,47,4.5,82,0.0338656387665198,0.323513215859031,0.0225770925110132,0.0354984894259819,6187.5
"64","North Carolina","Wake County","37183052905","Census Tract 529.05; Wake County; North Carolina",4.53915797,3622,1442,1434,290,930,0,2.5,85,0.0800662617338487,0.256764218663722,0.0234676974047488,0,3605
"65","North Carolina","Wake County","37183052906","Census Tract 529.06; Wake County; North Carolina",6.047026435,5185,1778,1778,764,2162,16,0,219,0.147348119575699,0.416972034715526,0.0422372227579556,0.00899887514060742,0
"66","North Carolina","Wake County","37183053003","Census Tract 530.03; Wake County; North Carolina",2.399280685,5328,3098,2405,818,1892,50,7.1,286,0.153528528528529,0.355105105105105,0.0536786786786787,0.0207900207900208,21995.8
"67","North Carolina","Wake County","37183053004","Census Tract 530.04; Wake County; North Carolina",1.092178697,2667,1268,1177,289,468,15,0,18,0.108361454818148,0.175478065241845,0.00674915635545557,0.0127442650807137,0
"68","North Carolina","Wake County","37183053005","Census Tract 530.05; Wake County; North Carolina",3.214009574,4622,1738,1699,130,726,34,0,48,0.0281263522284725,0.157074859368239,0.0103851146689745,0.0200117716303708,0
"69","North Carolina","Wake County","37183053006","Census Tract 530.06; Wake County; North Carolina",3.683087982,3177,1337,1307,55,269,0,0,33,0.0173119294932326,0.0846710733396286,0.0103871576959396,0,0
"70","North Carolina","Wake County","37183053007","Census Tract 530.07; Wake County; North Carolina",5.024485095,3615,1381,1340,177,522,23,0.4,9,0.0489626556016598,0.144398340248963,0.0024896265560166,0.0171641791044776,552.4
"71","North Carolina","Wake County","37183053009","Census Tract 530.09; Wake County; North Carolina",11.30862796,8694,3804,3357,1091,2739,86,0,294,0.125488842880147,0.315044858523119,0.0338164251207729,0.0256181114089961,0
"72","North Carolina","Wake County","37183053010","Census Tract 530.10; Wake County; North Carolina",8.422861848,5199,1884,1884,454,1258,17,0,228,0.0873244854779765,0.241969609540296,0.0438545874206578,0.00902335456475584,0
"73","North Carolina","Wake County","37183053011","Census Tract 530.11; Wake County; North Carolina",1.351127655,3914,2286,1888,485,1122,42,3,356,0.123914154317833,0.286663260091978,0.0909555442003066,0.0222457627118644,6858
"74","North Carolina","Wake County","37183053105","Census Tract 531.05; Wake County; North Carolina",3.038170228,4721,2119,1852,506,1669,61,3.1,212,0.107180682058886,0.353526795170515,0.0449057403092565,0.0329373650107991,6568.9
"75","North Carolina","Wake County","37183053106","Census Tract 531.06; Wake County; North Carolina",3.020114941,4125,1691,1565,1064,1115,142,0.5,262,0.257939393939394,0.27030303030303,0.0635151515151515,0.0907348242811502,845.5
"76","North Carolina","Wake County","37183053109","Census Tract 531.09; Wake County; North Carolina",13.06026038,11910,3983,3915,2217,3535,51,5.8,287,0.186146095717884,0.296809403862301,0.0240973971452561,0.0130268199233716,23101.4
"77","North Carolina","Wake County","37183053110","Census Tract 531.10; Wake County; North Carolina",11.23313035,6830,2315,2208,1090,2180,51,0,103,0.159590043923865,0.319180087847731,0.0150805270863836,0.0230978260869565,0
"78","North Carolina","Wake County","37183053111","Census Tract 531.11; Wake County; North Carolina",6.299813206,6149,2253,2129,596,1744,54,0,195,0.096926329484469,0.283623353390795,0.0317124735729387,0.0253640206669798,0
"79","North Carolina","Wake County","37183053112","Census Tract 531.12; Wake County; North Carolina",5.29351981,5743,2412,2412,803,1433,94,0.6,284,0.139822392477799,0.249521156190145,0.0494515061814383,0.038971807628524,1447.2
"80","North Carolina","Wake County","37183053113","Census Tract 531.13; Wake County; North Carolina",3.823488183,5337,1914,1806,802,2293,78,1.7,205,0.150271688214353,0.429642121041784,0.0384110923739929,0.0431893687707641,3253.8
"81","North Carolina","Wake County","37183053114","Census Tract 531.14; Wake County; North Carolina",6.936230538,7680,2545,2530,399,2968,133,0.6,387,0.051953125,0.386458333333333,0.050390625,0.0525691699604743,1527
"82","North Carolina","Wake County","37183053115","Census Tract 531.15; Wake County; North Carolina",6.270537408,2134,813,761,504,441,13,1.4,93,0.236176194939082,0.206654170571696,0.0435801312089972,0.0170827858081472,1138.2
"83","North Carolina","Wake County","37183053202","Census Tract 532.02; Wake County; North Carolina",2.742606831,5635,1804,1682,532,551,48,0,415,0.0944099378881988,0.0977817213842058,0.0736468500443656,0.0285374554102259,0
"84","North Carolina","Wake County","37183053203","Census Tract 532.03; Wake County; North Carolina",2.921404103,9675,3314,3245,1133,2966,10,1.4,186,0.117105943152455,0.30656330749354,0.0192248062015504,0.00308166409861325,4639.6
"85","North Carolina","Wake County","37183053204","Census Tract 532.04; Wake County; North Carolina",1.470983369,5324,2252,2057,695,1811,56,0,229,0.130540946656649,0.340157776108189,0.0430127723516153,0.0272241127856101,0
"86","North Carolina","Wake County","37183053205","Census Tract 532.05; Wake County; North Carolina",3.181577392,5583,2232,1999,454,1055,38,0.7,78,0.0813182876589647,0.188966505463013,0.0139709833422891,0.0190095047523762,1562.4
"87","North Carolina","Wake County","37183053206","Census Tract 532.06; Wake County; North Carolina",5.585890916,5866,2010,1981,536,2230,102,0.9,210,0.0913740197749744,0.380156836004091,0.035799522673031,0.0514891468955073,1809
